customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,34.3275,32.835,No
5575-GNVDE,Male,0,No,No,30,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,65.49249999999999,2078.4500000000003,No
3668-QPYBK,Male,0,No,No,0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,61.927499999999995,118.96500000000002,Yes
7795-CFOCW,Male,0,No,No,41,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),48.644999999999996,2024.8250000000003,No
9237-HQITU,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.30499999999999,166.81500000000003,Yes
9305-CDSKC,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.5975,902.5500000000001,Yes
1452-KIOVK,Male,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.46499999999999,2144.34,No
6713-OKOMC,Female,0,No,No,8,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,34.2125,332.09,No
7892-POOKP,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.51999999999998,3350.6550000000007,Yes
6388-TABGU,Male,0,No,Yes,58,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),64.57249999999999,3836.745,No
9763-GRSKD,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,57.442499999999995,646.195,No
7469-LKBCI,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.792499999999997,359.48,No
8091-TTVAX,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),115.40249999999999,6249.210000000001,No
0280-XJGEX,Male,0,No,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),119.255,5539.93,Yes
5129-JLPIS,Male,0,No,No,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,121.32499999999999,2954.6550000000007,No
3655-SNQYZ,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),130.23749999999998,8684.665,No
8191-XWSZG,Female,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.747499999999995,1125.2450000000001,No
9959-WOFKT,Male,0,No,Yes,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),122.705,8120.475,No
4190-MFLUW,Female,0,Yes,Yes,9,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),63.48,581.1850000000001,Yes
4183-MYFRB,Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,103.55749999999999,2049.19,No
8779-QRDMV,Male,1,No,No,0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.5975,43.615,Yes
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),22.77,222.47500000000002,No
1066-JKSGK,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.172499999999996,22.165,Yes
3638-WEABW,Female,0,Yes,No,57,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),68.88499999999999,3855.61,No
6322-HRPFA,Male,0,Yes,Yes,44,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),68.53999999999999,3267.3300000000004,No
6865-JZNKO,Female,0,No,No,26,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),63.59499999999999,1683.66,No
6467-CHFZW,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.25249999999998,5224.065,Yes
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,34.73,33.22,Yes
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.7875,7006.395,No
8773-HHUOZ,Female,0,No,Yes,15,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.405,1202.41,Yes
3841-NFECX,Female,1,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),110.80249999999998,7443.645,No
4929-XIHVW,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.82499999999999,199.81500000000003,No
6827-IEAUQ,Female,0,Yes,Yes,24,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,76.0725,2061.8950000000004,No
7310-EGVHZ,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.229999999999997,22.220000000000002,No
3413-BMNZE,Male,1,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),52.037499999999994,49.775000000000006,No
6234-RAAPL,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),114.88499999999999,7976.870000000001,No
6047-YHPVI,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.155,348.59,Yes
6572-ADKRS,Female,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),86.02,3903.1300000000006,No
5380-WJKOV,Male,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,122.30249999999998,3904.175,Yes
8168-UQWWF,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),112.52749999999999,1215.9400000000003,Yes
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,56.982499999999995,523.27,No
9489-DEDVP,Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),79.58,5359.585000000001,No
